"","ID","NAME","SCORE_SUM"
"1","[C1-01]","[C1-01]大都市圏における居住地移動と社会関係資本の空間分布の解析
*中館 真萌1、埴淵 知哉2、中谷 友樹1
 (1. 東北大学、2. 京都大学) [研究内容]",43
"2","[C1-02]","[C1-02]衛星画像とAIを用いた建物スケールのミクロな人口統計の実現
*山野寺 瞭太1、秋山 祐樹2、宮崎 浩之3、宮澤 聡4 (1. 東京都市大学 総合理工学研究科、2. 東京都市大学 建築都市デザイン学部 都市工学科、3. 株式会社GLODAL、4. LocationMind 株式会社) [研究内容]",37
"3","[C1-05]","[C1-05]小地域ごとの賃料形成要因に対する評価の違いに着目した賃貸集合住宅市場の地理的分割分析
*辺見 陽一朗1、井上 亮1 (1. 東北大学大学院 情報科学研究科 空間計画科学研究室) [研究内容]",43
"4","[C2-03]","[C2-03]分位点を考慮した連続的および離散的に生じる空間的異質性の分析手法
*青木 健哉1、井上 亮1 (1. 東北大学) [研究内容]",42
"5","[C3-02]","[C3-02]多様な地理空間情報を活用した京都市内の京町家分布の時空間的変容
*井上 萌来1、田畑 勇也1、矢野 桂司2 
(1. 立命館大学大学院　文学研究科、2. 立命館大学) [研究内容]",26
"6","[C3-03]","[C3-03]東京区部における人口年齢構成と土地利用遷移の関連性分析
*飛松 涼太1、 嚴 先鏞2、鈴木 勉2 
(1. 筑波大学大学院　システム情報工学研究群、2. 筑波大学大学　システム情報系) [研究内容]",26
"7","[C3-04]","[C3-04]デジタル電話帳とオープンデータを用いた店舗廃業確率予測モデルの構築
*小久保 賢人1、水谷 昂太郎1、秋山 祐樹1 
(1. 東京都市大学) [研究内容]",42
"8","[C3-05]","[C3-05]GIS-Based Life Cycle Assessment of Carbon Emissions in Urban Renewal Projects
*Jiuli Zhang1, Wanglin Yan1
 (1. Keio Univ.) [研究内容]",28
"9","[C4-02]","[C4-02]金沢近郊における地名の表出・染出現象の分析
*石田 悠人1、中西 航2 
(1. 筑波大学、2. 金沢大学) [研究内容]",36
"10","[C4-03]","[C4-03]筑波研究学園都市における国家公務員宿舎の廃止・再開発と社会変化の関連：人口移動と住民構成の変化に着目して
*広兼 靖也1、雨宮 護2、澤田 学3
 (1. 筑波大学大学院システム情報工学研究群社会工学学位プログラム、2. 筑波大学システム情報系社会工学域、3. つくば市政策イノベーション部情報政策課) [研究内容]",36
"11","[C4-04]","[C4-04]COVID-19以降の食料品店の営業時間に店舗立地が与える影響の解明
*與那嶺 彩世1、厳 網林2 
(1. 慶應義塾大学　政策・メディア研究科、2. 慶應義塾大学　環境情報学部) [研究内容]",33
